Date,Team,Acquired,Relinquished,Notes,TEAM_ABBREVIATION,player_name_clean,matched_name,PLAYER_ID,match_score
2020-08-06,Heat,,Gabe Vincent,placed on IL with sore right knee,MIA,Gabe Vincent,Gabe Vincent,1629216,100.0
2020-08-06,Heat,,Goran Dragic,placed on IL with sprained left ankle,MIA,Goran Dragic,Goran Dragic,201609,100.0
2020-08-06,Jazz,,Donovan Mitchell,placed on IL with left leg injury,UTA,Donovan Mitchell,Donovan Mitchell,1628378,100.0
2020-08-06,Jazz,,Mike Conley Jr.,placed on IL with sore right knee,UTA,Mike Conley,Mike Conley,201144,100.0
2020-08-06,Jazz,,Royce O'Neale,placed on IL with right calf injury,UTA,Royce O'Neale,Royce O'Neale,1626220,100.0
2020-08-06,Lakers,,Alex Caruso,placed on IL with neck spasms,LAL,Alex Caruso,Alex Caruso,1627936,100.0
2020-08-06,Lakers,,LeBron James,placed on IL with right groin injury,LAL,LeBron James,LeBron James,2544,100.0
2020-08-06,Nuggets,,Troy Daniels,placed on IL with right hip injury,DEN,Troy Daniels,Troy Daniels,203584,100.0
2020-08-06,Pacers,,Doug McDermott,placed on IL with sore right knee,IND,Doug McDermott,Doug McDermott,203926,100.0
2020-08-07,76ers,,Ben Simmons,placed on IL with dislocated kneecap in left knee (out for season),PHI,Ben Simmons,Ben Simmons,1627732,100.0
2020-08-07,Kings,,Kent Bazemore,placed on IL with left calf injury (out for season),SAC,Kent Bazemore,Kent Bazemore,203145,100.0
2020-08-07,Magic,,Aaron Gordon,placed on IL with strained left hamstring (out for season),ORL,Aaron Gordon,Aaron Gordon,203932,100.0
2020-08-07,Pelicans,,Zion Williamson,placed on IL,NOP,Zion Williamson,Zion Williamson,1629627,100.0
2020-08-08,Blazers,,Hassan Whiteside,placed on IL with strained left hip,POR,Hassan Whiteside,Hassan Whiteside,202355,100.0
